ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
4647369,HM155213,01/31/2006 12:13:05 PM,066XX N BOSWORTH AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,"SCHOOL, PUBLIC, BUILDING",true,false,2432,024,40,1,18,1164737,1944193,2006,04/15/2016 08:55:02 AM,42.002478396,-87.66929687,"(42.002478396, -87.66929687)"
4647370,HM245080,03/21/2006 07:00:00 PM,062XX S WESTERN AVE,1330,CRIMINAL TRESPASS,TO LAND,PARKING LOT/GARAGE(NON.RESID.),true,false,0825,008,15,66,26,1161441,1863309,2006,04/15/2016 08:55:02 AM,41.780595495,-87.68367553,"(41.780595495, -87.68367553)"
4647372,HM171175,02/09/2006 01:44:41 AM,058XX S SHIELDS AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,0711,007,20,68,18,1174958,1866097,2006,04/15/2016 08:55:02 AM,41.787955143,-87.634036744,"(41.787955143, -87.634036744)"
4647373,HM244805,03/21/2006 04:45:00 PM,011XX N SPAULDING AVE,0810,THEFT,OVER $500,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,false,false,1121,011,26,23,06,1154100,1907414,2006,04/15/2016 08:55:02 AM,41.901774026,-87.709414574,"(41.901774026, -87.709414574)"
4647374,HM245851,03/21/2006 10:00:00 PM,080XX S DOBSON AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,0631,006,8,44,06,1184622,1851863,2006,04/15/2016 08:55:02 AM,41.748674558,-87.599048654,"(41.748674558, -87.599048654)"
4647375,HM245194,03/20/2006 11:00:00 PM,064XX S WOLCOTT AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0726,007,15,67,07,1164792,1861919,2006,04/15/2016 08:55:02 AM,41.776711023,-87.671429342,"(41.776711023, -87.671429342)"
4647377,HM156475,02/01/2006 11:25:00 PM,032XX W DOUGLAS BLVD,2027,NARCOTICS,POSS: CRACK,SIDEWALK,true,false,1022,010,24,29,18,1155120,1893275,2006,04/15/2016 08:55:02 AM,41.86295478,-87.706047579,"(41.86295478, -87.706047579)"
4647378,HM244549,03/21/2006 02:37:00 PM,081XX S MAY ST,1310,CRIMINAL DAMAGE,TO PROPERTY,"SCHOOL, PUBLIC, BUILDING",false,false,0613,006,21,71,14,1170069,1850820,2006,04/15/2016 08:55:02 AM,41.746140855,-87.652406156,"(41.746140855, -87.652406156)"
4647379,HM171239,02/09/2006 05:38:07 AM,080XX S EXCHANGE AVE,1512,PROSTITUTION,SOLICIT FOR PROSTITUTE,STREET,true,false,0422,004,7,46,16,1197222,1852411,2006,04/15/2016 08:55:02 AM,41.749873967,-87.552860394,"(41.749873967, -87.552860394)"
4647380,HL762080,11/29/2005 03:10:00 PM,112XX S WALLACE ST,1340,CRIMINAL DAMAGE,TO STATE SUP PROP,"SCHOOL, PUBLIC, BUILDING",false,false,2233,022,34,49,14,1174313,1830380,2005,04/15/2016 08:55:02 AM,41.68995741,-87.637460623,"(41.68995741, -87.637460623)"
4647381,HM245956,03/22/2006 10:30:00 AM,014XX W GRANVILLE AVE,2830,OTHER OFFENSE,OBSCENE TELEPHONE CALLS,RESIDENCE,false,false,2433,024,48,77,17,1165597,1941287,2006,04/15/2016 08:55:02 AM,41.99448592,-87.666216312,"(41.99448592, -87.666216312)"
4647382,HM155230,01/31/2006 12:33:27 PM,091XX S LOOMIS ST,2027,NARCOTICS,POSS: CRACK,STREET,true,false,2222,022,21,73,18,1168597,1844242,2006,04/15/2016 08:55:02 AM,41.728121719,-87.657989027,"(41.728121719, -87.657989027)"
4647385,HM246018,03/15/2006 03:00:00 PM,092XX S LANGLEY AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0633,006,9,44,07,1182521,1843701,2006,04/15/2016 08:55:02 AM,41.72632605,-87.606999811,"(41.72632605, -87.606999811)"
4647386,HM243788,03/20/2006 11:45:00 PM,042XX W KINZIE ST,0454,BATTERY,AGG PO HANDS NO/MIN INJURY,STREET,true,false,1111,011,28,23,08B,1148151,1902249,2006,04/15/2016 08:55:02 AM,41.887717361,-87.731399256,"(41.887717361, -87.731399256)"
4647387,HM244401,03/21/2006 12:50:00 PM,039XX S LAKE PARK AVE,0460,BATTERY,SIMPLE,CHA HALLWAY/STAIRWELL/ELEVATOR,true,false,2122,002,4,36,08B,1183292,1879180,2006,04/15/2016 08:55:02 AM,41.823665846,-87.603072021,"(41.823665846, -87.603072021)"
4647388,HM225500,03/11/2006 02:00:00 AM,032XX W ARMITAGE AVE,0520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,STREET,false,false,1421,014,35,22,04A,1154609,1913111,2006,04/15/2016 08:55:02 AM,41.917396919,-87.707392238,"(41.917396919, -87.707392238)"
4647389,HM243942,03/21/2006 07:40:00 AM,023XX W 64TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,true,0825,008,15,66,14,1162031,1862157,2006,04/15/2016 08:55:02 AM,41.777421998,-87.681544485,"(41.777421998, -87.681544485)"
4647390,HM244612,03/21/2006 02:48:52 PM,080XX S RACINE AVE,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,STREET,false,false,0612,006,21,71,04B,1169718,1851515,2006,04/15/2016 08:55:02 AM,41.748055645,-87.653672181,"(41.748055645, -87.653672181)"
4647391,HM155231,01/31/2006 12:34:29 PM,016XX W AUGUSTA BLVD,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,true,false,1322,012,1,24,18,1165440,1906744,2006,04/15/2016 08:55:02 AM,41.899701628,-87.667780488,"(41.899701628, -87.667780488)"
4647392,HM241018,03/19/2006 11:35:00 AM,017XX N CLARK ST,0560,ASSAULT,SIMPLE,STREET,false,false,1814,018,43,7,08A,1174891,1911764,2006,04/15/2016 08:55:02 AM,41.913270306,-87.632916661,"(41.913270306, -87.632916661)"
4647394,HM246035,03/22/2006 12:30:00 AM,0000X E 118TH ST,0930,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,STREET,false,false,0532,005,9,53,07,1178607,1826737,2006,04/15/2016 08:55:02 AM,41.679864218,-87.621850413,"(41.679864218, -87.621850413)"
